URI`Pref Label / Title`Alt Label`Creator (comma separated list)`Comment (Abstract)`Description (Introduction)`Version`Publisher`Rights
ecv`ECV`essential climate variable`Science and Technology Facilities Council`This collection represents the ECVs used by the CCI project`The Essential Climate Variable (ECVs) in the ESA Climate Change Initiative (CCI).`0.0.1`STFC`This work is licensed under a BSD license.
dataType`Geophysical Quantity``Science and Technology Facilities Council`This collection represents the data types used by the CCI project`The main data type in a data set used by the ESA Climate Change Initiative (CCI).`0.0.1`STFC`This work is licensed under a BSD license.
freq`Frequency``Science and Technology Facilities Council`This collection represents the frequencies used by the CCI project`Temporal frequencies of data from the ESA Climate Change Initiative (CCI).`0.0.1`STFC`This work is licensed under a BSD license.
org`Institute`organisation`Science and Technology Facilities Council`This collection represents the organisations in the CCI project`Organisations (institutions) that are involved in production of data for the ESA Climate Change Initiative (CCI).`0.0.1`STFC`This work is licensed under a BSD license.
platform`Platform``Science and Technology Facilities Council`This collection represents the platforms used by the CCI project`The platforms that have been used in the collection of data for the ESA Climate Change Initiative (CCI).`0.0.1`STFC`This work is licensed under a BSD license.
platformGrp`Platform Group``Science and Technology Facilities Council`This collection represents the platform groups used by the CCI project`The platform groups that have been used in the collection of data for the ESA Climate Change Initiative (CCI).`0.0.1`STFC`This work is licensed under a BSD license.
platformProg`Platform Programme``Science and Technology Facilities Council`This collection represents the platform programmes used by the CCI project`The platform programmes that have been used in the collection of data for the ESA Climate Change Initiative (CCI).`0.0.1`STFC`This work is licensed under a BSD license.
procLev`Processing Level``Science and Technology Facilities Council`This collection represents the processing levels used by the CCI project`The different processing levels of satellite observational data that are used within the ESA Climate Change Initiative (CCI).`0.0.1`STFC`This work is licensed under a BSD license.
product`Product String``Science and Technology Facilities Council`This collection represents the products used by the CCI project`The different products that are produced within the ESA Climate Change Initiative (CCI).`0.0.1`STFC`This work is licensed under a BSD license.
project`Project``Science and Technology Facilities Council`This collection represents the projects within the CCI project`The different projects within the ESA Climate Change Initiative (CCI).`0.0.1`STFC`This work is licensed under a BSD license.
sensor`Sensor``Science and Technology Facilities Council`This collection represents the sensors used by the CCI project`The sensors that have been used in the collection of the data for the ESA Climate Change Initiative (CCI).`0.0.1`STFC`This work is licensed under a BSD license.
