URI`Pref Label`Alt Label`Definition`See Also
cciproject_aerosol`aerosol`AEROSOL`The European Space Agency (ESA) Climate Change Initiative (CCI) Aerosol project`
cciproject_cloud`cloud`CLOUD`The European Space Agency (ESA) Climate Change Initiative (CCI) Cloud project`
cciproject_fire`fire`FIRE`The European Space Agency (ESA) Climate Change Initiative (CCI) Fire project`
cciproject_ghg`greenhouse gases`GHG`The European Space Agency (ESA) Climate Change Initiative (CCI) Greenhouse gases project`
cciproject_glaciers`glaciers`GLACIERS`The European Space Agency (ESA) Climate Change Initiative (CCI) Glaciers project`
cciproject_landCov`land cover`LC`The European Space Agency (ESA) Climate Change Initiative (CCI) Land Cover project`
cciproject_oceanCol`ocean colour`OC`Ocean colour climate data record produced from satellite data as part of the European Space Agency (ESA) Climate Change Initiative (CCI)`
cciproject_ozone`ozone`OZONE`The European Space Agency (ESA) Climate Change Initiative (CCI) Sea Level project`
cciproject_seaLevel`sea level`SEALEVEL`Sea level climate data record produced from satellite data as part of the European Space Agency (ESA) Climate Change Initiative (CCI)`
cciproject_sst`sea surface temperature`SST`The European Space Agency (ESA) Climate Change Initiative (CCI) Sea Surface Temperature project`
cciproject_soilMst`soil moisture`SOILMOISTURE`The European Space Agency (ESA) Climate Change Initiative (CCI) Soil Moisture project`
cciproject_iceSheet`ice sheets`ICESHEETS`The European Space Agency (ESA) Climate Change Initiative (CCI) Ice Sheets project`
cciproject_seaIce`sea ice`SEAICE`The European Space Agency (ESA) Climate Change Initiative (CCI) Sea Ice project`
cciproject_biomass`above-ground biomass`BIOMASS`The European Space Agency (ESA) Climate Change Initiative (CCI) Biomass project`
cciproject_permafrost`permafrost`PERMAFROST`The European Space Agency (ESA) Climate Change Initiative (CCI) Permafrost project`
cciproject_salinity`sea surface salinity`SEASURFACESALINITY`The European Space Agency (ESA) Climate Change Initiative (CCI) Salinity project`
cciproject_seaState`sea state`SEASTATE`The European Space Agency (ESA) Climate Change Initiative (CCI) Sea State project`
cciproject_snow`snow`SNOW`The European Space Agency (ESA) Climate Change Initiative (CCI) Snow project`
cciproject_waterVapour`water vapour`WATERVAPOUR`The European Space Agency (ESA) Climate Change Initiative (CCI) Water Vapour project`
cciproject_landSurfTemp`land surface temperature`LST`The European Space Agency (ESA) Climate Change Initiative (CCI) Land Surface Temperature project`
cciproject_lakes`lakes`LAKES`The European Space Agency (ESA) Climate Change Initiative (CCI) Lakes project`
cciproject_vegParam`vegetation parameters`VEGETATION`The European Space Agency (ESA) Climate Change Initiative (CCI) Vegetation Parameters project`
cciproject_riverDischarge`river discharge`RD`The European Space Agency (ESA) Climate Change Initiative (CCI) River Discharge project`
cciproject_reccap2`RECCAP2`RECCAP-2`The European Space Agency (ESA) Climate Change Initiative (CCI) RECCAP-2 project`
cciproject_seaLevelBudgetClos`sea level budget closure`SLBC`The European Space Agency (ESA) Climate Change Initiative (CCI) Sea Level budget closure`
