URI`Pref Label`Alt Label`Definition`See Also
plat_dmsp`DMSP``US Defense Meteorological Satellite Program`
plat_goes`GOES``NASA NESDIS Geostationary Operational Environmental Satellite system`
plat_noaa`NOAA``NASA NOAA Environmental satellite programme`
