URI`Pref Label`Alt Label`Definition
atmosphericUpperairWaterVapour`atmospheric upper-air water vapour`water vapour`GCOS Essential Climate Variable
atmosphericUpperairCloudProperties`atmospheric upper-air cloud properties`cloud properties`GCOS Essential Climate Variable
atmosphericUpperairEarthRadiationBudget`atmospheric upper-air earth radiation budget including solar irradiance`toa radiation budget`GCOS Essential Climate Variable
atmosphericCompositionCarbonDioxide`atmospheric composition carbon dioxide`carbon dioxide`GCOS Essential Climate Variable
atmosphericCompositionMethane`atmospheric composition methane`methane`GCOS Essential Climate Variable
atmosphericCompositionOtherLonglivedGreenhouseGases`atmospheric composition other long-lived greenhouse gases`other long-lived greenhouse gases`GCOS Essential Climate Variable; nitrous oxide (N2O), chlorofluorocarbons (CFCs), hydrochlorofluorocarbons (HCFCs), hydrofluorocarbons (HFCs), sulphur hexafluoride (SF6), and perfluorocarbons (PFCs) and precursors, in particular nitrogen dioxide (NO2), sulphur dioxide (SO2), formaldehyde (HCHO) and carbon monoxide (CO).
atmosphericCompositionOzoneAndAerosol`atmospheric composition ozone and aerosol supported by their precursors`ozone and aerosol`GCOS Essential Climate Variable; precursors in particular nitrogen dioxide (NO2), sulphur dioxide (SO2), formaldehyde (HCHO) and carbon monoxide (CO).
oceanicSurfaceSeaSurfaceTemperature`oceanic surface sea surface temperature`sea surface temperature`GCOS Essential Climate Variable
oceanicSurfaceSeaSurfaceSalinity`oceanic surface sea surface salinity`sea surface salinity`GCOS Essential Climate Variable
oceanicSurfaceSeaLevel`oceanic surface sea level`sea level`GCOS Essential Climate Variable
oceanicSurfaceSeaState`oceanic surface sea state`sea state`GCOS Essential Climate Variable
oceanicSurfaceSeaIce`oceanic surface sea ice`sea ice`GCOS Essential Climate Variable
oceanicSurfaceCurrent`oceanic surface surface current`surface current`GCOS Essential Climate Variable
oceanicSurfaceOceanColour`oceanic surface ocecan colour`ocecan colour`GCOS Essential Climate Variable
oceanicSurfaceCarbonDioxidePartialPressure`oceanic surface carbon dioxide partial pressure``GCOS Essential Climate Variable
oceanicSurfaceOceanAcidity`oceanic surface ocean acidity``GCOS Essential Climate Variable
oceanicSubsurfaceTemperature`oceanic subsurface temperature``GCOS Essential Climate Variable
oceanicSubsurfaceSalinity`oceanic subsurface salinity``GCOS Essential Climate Variable
oceanicSubsurfaceCurrent`oceanic subsurface current``GCOS Essential Climate Variable
oceanicSubsurfaceNutrients`oceanic subsurface nutrients``GCOS Essential Climate Variable
oceanicSubsurfaceCarbonDioxidePartialPressure`oceanic subsurface carbon dioxide partial pressure``GCOS Essential Climate Variable
oceanicSubsurfaceOceanAcidity`oceanic subsurface ocean acidity``GCOS Essential Climate Variable
oceanicSubsurfaceOxygen`oceanic subsurface oxygen``GCOS Essential Climate Variable
oceanicSubsurfaceTracers`oceanic subsurface tracers``GCOS Essential Climate Variable
terrestrialRiverDischarge`terrestrial river discharge`river discharge`GCOS Essential Climate Variable
terrestrialWaterUse`terrestrial water use`water usage`GCOS Essential Climate Variable
terrestrialGroundwater`terrestrial groundwater`ground water`GCOS Essential Climate Variable
terrestrialLakes`terrestrial lakes`lakes`GCOS Essential Climate Variable
terrestrialSnowCover`terrestrial snow cover`snow cover`GCOS Essential Climate Variable
terrestrialGlaciersAndIceCaps`terrestrial glaciers and ice caps`glaciers`GCOS Essential Climate Variable
terrestrialIceSheets`terrestrial ice sheets`ice sheets`GCOS Essential Climate Variable
terrestrialPermafrost`terrestrial permafrost`permafrost`GCOS Essential Climate Variable
terrestrialAlbedo`terrestrial albedo`albedo`GCOS Essential Climate Variable
terrestrialLandCover`terrestrial land cover`land cover`GCOS Essential Climate Variable
terrestrialFractionOfAbsorbedPhotosyntheticallyActiveRadiation`terrestrial fraction of absorbed photosynthetically active radiation`FAPAR`GCOS Essential Climate Variable
terrestrialLeafAreaIndex`terrestrial leaf area index`LAI`GCOS Essential Climate Variable
terrestrialAboveGroundBiomass`terrestrial above ground biomass`biomass`GCOS Essential Climate Variable
terrestrialSoilCarbon`terrestrial soil carbon`soil carbon`GCOS Essential Climate Variable
terrestrialFireDisturbance`terrestrial fire disturbance`fire`GCOS Essential Climate Variable
terrestrialSoilMoisture`terrestrial soil moisture`soil moisture`GCOS Essential Climate Variable
